"Global X MSCI China Financials ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
05/24/2017,14.99,0.06,0.40,0.06,0.39
05/23/2017,14.93,0.00,0.00,0.08,0.51
05/22/2017,14.93,0.04,0.27,0.09,0.58
05/19/2017,14.89,0.13,0.88,0.16,1.07
05/18/2017,14.76,0.01,0.07,0.10,0.72
05/17/2017,14.75,-0.18,-1.21,-0.01,-0.10
05/16/2017,14.93,-0.06,-0.40,0.12,0.83
05/15/2017,14.99,0.20,1.35,0.17,1.17
05/12/2017,14.79,0.09,0.61,0.15,1.06
05/11/2017,14.7,-0.05,-0.34,0.07,0.47
05/10/2017,14.75,0.18,1.24,0.17,1.14
05/09/2017,14.57,0.24,1.67,0.11,0.75
05/08/2017,14.33,-0.01,-0.07,0.06,0.42
05/05/2017,14.34,-0.07,-0.49,0.13,0.95
05/04/2017,14.41,-0.10,-0.69,0.02,0.17
05/03/2017,14.51,-0.04,-0.27,0.03,0.23
05/02/2017,14.55,-0.10,-0.68,0.07,0.51
05/01/2017,14.65,0.06,0.41,0.17,1.15
04/28/2017,14.59,0.03,0.21,0.10,0.68
04/27/2017,14.56,-0.03,-0.21,-0.01,-0.07
04/26/2017,14.59,0.03,0.21,0.01,0.09
04/25/2017,14.56,0.25,1.75,0.07,0.51
04/24/2017,14.31,0.10,0.70,0.07,0.52
04/21/2017,14.21,-0.07,-0.49,0.04,0.28
04/20/2017,14.28,0.17,1.20,0.09,0.66
04/19/2017,14.11,-0.02,-0.14,0.02,0.17
04/18/2017,14.13,-0.32,-2.21,-0.02,-0.14
04/17/2017,14.45,0.08,0.56,0.08,0.57
04/13/2017,14.37,0.00,0.00,0.00,0.01
04/12/2017,14.37,0.01,0.07,0.01,0.10
04/11/2017,14.36,-0.06,-0.42,0.11,0.75
04/10/2017,14.42,-0.06,-0.41,0.08,0.54
04/07/2017,14.48,0.00,0.00,0.14,0.98
04/06/2017,14.48,-0.04,-0.28,0.14,0.97
04/05/2017,14.52,-0.04,-0.27,0.12,0.81
04/04/2017,14.56,0.00,0.00,0.23,1.58
04/03/2017,14.56,0.08,0.55,0.23,1.58
03/31/2017,14.48,-0.13,-0.89,0.22,1.51
03/30/2017,14.61,-0.07,-0.48,0.25,1.73
03/29/2017,14.68,0.00,0.00,0.19,1.34
03/28/2017,14.68,0.02,0.14,0.21,1.45
03/27/2017,14.66,-0.13,-0.88,0.27,1.90
03/24/2017,14.79,-0.05,-0.34,0.18,1.25
03/23/2017,14.84,0.04,0.27,0.19,1.32
03/22/2017,14.8,0.06,0.41,0.23,1.58
03/21/2017,14.74,-0.09,-0.61,-0.08,-0.51
03/20/2017,14.83,0.06,0.41,0.12,0.82
03/17/2017,14.77,-0.12,-0.81,0.07,0.51
03/16/2017,14.89,0.19,1.29,0.14,0.96
03/15/2017,14.7,0.27,1.87,0.26,1.81
03/14/2017,14.43,0.00,0.00,-0.02,-0.12
03/13/2017,14.43,0.27,1.91,0.03,0.20
03/10/2017,14.16,0.10,0.71,0.02,0.12
03/09/2017,14.06,-0.16,-1.13,-0.05,-0.36
03/08/2017,14.22,0.04,0.28,-0.09,-0.60
03/07/2017,14.18,0.09,0.64,0.00,-0.02
03/06/2017,14.09,-0.04,-0.28,0.01,0.11
03/03/2017,14.13,0.00,0.00,0.09,0.66
03/02/2017,14.13,-0.30,-2.08,-0.07,-0.50
03/01/2017,14.43,0.13,0.91,0.17,1.19
02/28/2017,14.3,-0.04,-0.28,0.02,0.12
02/27/2017,14.34,-0.13,-0.90,-0.01,-0.08
02/24/2017,14.47,-0.14,-0.96,0.04,0.30
02/23/2017,14.61,0.10,0.69,0.07,0.48
02/22/2017,14.51,0.10,0.69,-0.04,-0.31
02/21/2017,14.41,0.10,0.70,0.07,0.47
02/17/2017,14.31,-0.08,-0.56,-0.02,-0.15
02/16/2017,14.39,-0.03,-0.21,-0.04,-0.29
02/15/2017,14.42,0.27,1.91,0.03,0.20
02/14/2017,14.15,0.02,0.14,0.02,0.17
02/13/2017,14.13,0.11,0.78,0.01,0.10
02/10/2017,14.02,0.07,0.50,0.05,0.39
02/09/2017,13.95,0.17,1.23,0.00,0.03
02/08/2017,13.78,0.35,2.61,-0.03,-0.23
02/07/2017,13.43,0.03,0.22,-0.13,-0.93
02/06/2017,13.4,0.08,0.60,-0.12,-0.89
02/03/2017,13.32,-0.02,-0.15,0.00,0.02
02/02/2017,13.34,-0.06,-0.45,-0.01,-0.04
02/01/2017,13.4,-0.02,-0.15,-0.05,-0.34
01/31/2017,13.42,0.04,0.30,-0.07,-0.53
01/30/2017,13.38,-0.05,-0.37,-0.12,-0.85
01/27/2017,13.43,0.02,0.15,-0.06,-0.48
01/26/2017,13.41,0.04,0.30,-0.11,-0.82
01/25/2017,13.37,0.01,0.07,0.01,0.09
01/24/2017,13.36,0.04,0.30,-0.01,-0.06
01/23/2017,13.32,0.06,0.45,-0.03,-0.21
01/20/2017,13.26,-0.05,-0.38,-0.08,-0.58
01/19/2017,13.31,-0.03,-0.22,-0.15,-1.10
01/18/2017,13.34,0.07,0.53,-0.13,-0.95
01/17/2017,13.27,-0.13,-0.97,-0.04,-0.33
01/13/2017,13.4,-0.05,-0.37,-0.04,-0.31
01/12/2017,13.45,-0.02,-0.15,0.04,0.27
01/11/2017,13.47,0.06,0.45,0.04,0.28
01/10/2017,13.41,0.26,1.98,0.10,0.72
01/09/2017,13.15,-0.01,-0.08,-0.05,-0.39
01/06/2017,13.16,-0.11,-0.83,-0.04,-0.29
01/05/2017,13.27,0.18,1.38,0.09,0.68
01/04/2017,13.09,0.09,0.69,0.08,0.61
01/03/2017,13,0.18,1.40,-0.05,-0.35
12/30/2016,12.82,0.01,0.08,-0.12,-0.96
12/29/2016,12.81,0.12,0.95,0.01,0.04
12/28/2016,12.69,-0.19,-1.48,-0.12,-0.94
12/27/2016,12.88,0.07,0.55,-0.05,-0.38
12/23/2016,12.81,0.00,0.00,-0.12,-0.94
12/22/2016,12.81,-0.14,-1.08,-0.13,-1.04
12/21/2016,12.95,-0.03,-0.23,-0.13,-1.02
12/20/2016,12.98,-0.05,-0.38,-0.04,-0.29
12/19/2016,13.03,-0.14,-1.06,-0.10,-0.78
12/16/2016,13.17,-0.11,-0.83,-0.12,-0.93
12/15/2016,13.28,-0.20,-1.48,-0.03,-0.25
12/14/2016,13.48,-0.38,-2.74,-0.14,-1.06
12/13/2016,13.86,0.12,0.87,0.16,1.14
12/12/2016,13.74,-0.26,-1.86,0.04,0.28
12/09/2016,14,-0.09,-0.64,0.07,0.51
12/08/2016,14.09,0.02,0.14,0.14,1.01
12/07/2016,14.07,0.09,0.64,0.22,1.58
12/06/2016,13.98,0.00,0.00,0.16,1.13
12/05/2016,13.98,0.01,0.07,0.22,1.57
12/02/2016,13.97,-0.07,-0.50,0.12,0.87
12/01/2016,14.04,-0.11,-0.78,0.00,0.01
11/30/2016,14.15,0.04,0.28,0.16,1.11
11/29/2016,14.11,0.10,0.71,0.12,0.86
11/28/2016,14.01,0.04,0.29,-0.03,-0.24
11/25/2016,13.97,0.22,1.60,0.00,0.01
11/23/2016,13.75,-0.07,-0.51,-0.06,-0.45
11/22/2016,13.82,0.22,1.62,0.04,0.31
11/21/2016,13.6,0.21,1.57,0.08,0.56
11/18/2016,13.39,-0.03,-0.22,-0.03,-0.21
11/17/2016,13.42,-0.01,-0.07,0.02,0.17
11/16/2016,13.43,-0.21,-1.54,0.02,0.11
11/15/2016,13.64,0.19,1.41,0.17,1.29
11/14/2016,13.45,-0.07,-0.52,0.05,0.36
11/11/2016,13.52,-0.07,-0.52,-0.03,-0.18
11/10/2016,13.59,-0.12,-0.88,-0.10,-0.73
11/09/2016,13.71,-0.27,-1.93,0.23,1.71
11/08/2016,13.98,0.14,1.01,0.15,1.06
11/07/2016,13.84,0.28,2.06,0.12,0.85
11/04/2016,13.56,-0.09,-0.66,-0.11,-0.78
11/03/2016,13.65,-0.05,-0.36,-0.01,-0.06
11/02/2016,13.7,-0.14,-1.01,-0.01,-0.07
11/01/2016,13.84,0.06,0.44,-0.09,-0.68
10/31/2016,13.78,0.06,0.44,-0.02,-0.15
10/28/2016,13.72,-0.14,-1.01,0.00,-0.02
10/27/2016,13.86,-0.09,-0.65,0.02,0.11
10/26/2016,13.95,-0.12,-0.85,0.01,0.04
10/25/2016,14.07,-0.03,-0.21,-0.03,-0.21
10/24/2016,14.1,0.12,0.86,-0.02,-0.13
10/21/2016,13.98,-0.02,-0.14,0.04,0.31
10/20/2016,14,-0.04,-0.28,0.07,0.47
