Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
05/18/2017,ProShares UltraShort MSCI Emerging Markets,EEV,60.8,58.85,3.31351,1.95,573.95,34896087.04
05/17/2017,ProShares UltraShort MSCI Emerging Markets,EEV,58.85,56.9,3.42707,1.95,573.95,33776886.88
05/16/2017,ProShares UltraShort MSCI Emerging Markets,EEV,56.9,57.05,-0.26293,-0.15,573.95,32657686.72
05/15/2017,ProShares UltraShort MSCI Emerging Markets,EEV,57.05,58.2,-1.97595,-1.15,573.95,32743779.04
05/12/2017,ProShares UltraShort MSCI Emerging Markets,EEV,58.2,58.7,-0.85179,-0.5,573.95,33403820.16
05/11/2017,ProShares UltraShort MSCI Emerging Markets,EEV,58.7,58.95,-0.42409,-0.25,573.95,33690794.56
05/10/2017,ProShares UltraShort MSCI Emerging Markets,EEV,58.95,59.75,-1.33891,-0.8,573.95,33834281.76
05/09/2017,ProShares UltraShort MSCI Emerging Markets,EEV,59.75,61.3,-2.52855,-1.55,573.95,34293440.8
05/08/2017,ProShares UltraShort MSCI Emerging Markets,EEV,61.3,61.3,0.00000,0,573.95,35183061.44
05/05/2017,ProShares UltraShort MSCI Emerging Markets,EEV,61.3,62.3,-1.60514,-1,573.95,35183061.44
05/04/2017,ProShares UltraShort MSCI Emerging Markets,EEV,62.3,60.95,2.21493,1.35,573.95,35757010.24
05/03/2017,ProShares UltraShort MSCI Emerging Markets,EEV,60.95,60.15,1.33001,0.8,573.95,34982179.36
05/02/2017,ProShares UltraShort MSCI Emerging Markets,EEV,60.15,61.05,-1.47420,-0.9,573.95,34523020.32
05/01/2017,ProShares UltraShort MSCI Emerging Markets,EEV,61.05,61.75,-1.13360,-0.7,573.95,35039574.24
04/28/2017,ProShares UltraShort MSCI Emerging Markets,EEV,61.75,61.9,-0.24233,-0.15,573.95,35441338.4
04/27/2017,ProShares UltraShort MSCI Emerging Markets,EEV,61.9,61.75,0.24291,0.15,573.95,35527430.72
04/26/2017,ProShares UltraShort MSCI Emerging Markets,EEV,61.75,61.3,0.73409,0.45,573.95,35441338.4
04/25/2017,ProShares UltraShort MSCI Emerging Markets,EEV,61.3,62.4,-1.76282,-1.1,573.95,35183061.44
04/24/2017,ProShares UltraShort MSCI Emerging Markets,EEV,62.4,64.25,-2.87938,-1.85,573.95,35814405.12
04/21/2017,ProShares UltraShort MSCI Emerging Markets,EEV,64.25,64.25,0.00000,
