"Global X MSCI China Energy ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
10/14/15,--,--,--,0.02,0.13
10/13/15,--,--,--,-0.07,-0.56
10/12/15,--,--,--,-0.07,-0.60
10/9/15,--,--,--,0.06,0.48
10/8/15,--,--,--,0.16,1.33
10/7/15,--,--,--,0.00,0.01
10/6/15,--,--,--,0.05,0.40
10/5/15,--,--,--,0.18,1.59
10/2/15,--,--,--,0.25,2.27
10/1/15,--,--,--,0.13,1.20
9/30/15,--,--,--,0.08,0.76
9/29/15,--,--,--,0.03,0.26
9/28/15,--,--,--,-0.20,-1.81
9/25/15,--,--,--,-0.05,-0.44
9/24/15,--,--,--,-0.02,-0.19
9/23/15,--,--,--,-0.04,-0.38
9/22/15,--,--,--,-0.13,-1.11
9/21/15,--,--,--,0.01,0.06
9/18/15,--,--,--,-0.19,-1.63
9/17/15,--,--,--,0.05,0.44
9/16/15,--,--,--,0.16,1.39
9/15/15,--,--,--,0.11,1.02
9/14/15,--,--,--,-0.03,-0.29
9/11/15,--,--,--,0.10,0.85
9/10/15,--,--,--,0.08,0.68
9/9/15,--,--,--,-0.16,-1.36
9/8/15,--,--,--,0.17,1.54
9/4/15,--,--,--,-0.19,-1.75
9/3/15,--,--,--,0.06,0.60
9/2/15,--,--,--,0.00,-0.05
9/1/15,--,--,--,-0.18,-1.66
8/31/15,--,--,--,-0.06,-0.54
8/28/15,--,--,--,0.02,0.16
8/27/15,--,--,--,0.14,1.29
8/26/15,--,--,--,0.63,5.92
8/25/15,--,--,--,0.84,7.95
8/24/15,--,--,--,0.11,1.02
8/21/15,--,--,--,0.08,0.67
8/20/15,--,--,--,0.47,4.09
8/19/15,--,--,--,0.29,2.44
8/18/15,--,--,--,0.19,1.58
8/17/15,--,--,--,0.01,0.09
8/14/15,--,--,--,0.03,0.22
8/13/15,--,--,--,-0.02,-0.16
8/12/15,--,--,--,-0.04,-0.31
8/11/15,--,--,--,-0.07,-0.54
8/10/15,--,--,--,0.06,0.44
8/7/15,--,--,--,-0.09,-0.74
8/6/15,--,--,--,-0.07,-0.53
8/5/15,--,--,--,-0.05,-0.41
8/4/15,--,--,--,-0.07,-0.53
8/3/15,--,--,--,-0.14,-1.10
7/31/15,--,--,--,-0.10,-0.77
7/30/15,--,--,--,-0.01,-0.07
7/29/15,--,--,--,0.06,0.46
7/28/15,--,--,--,-0.01,-0.09
7/27/15,--,--,--,-0.15,-1.25
7/24/15,--,--,--,-0.20,-1.54
7/23/15,--,--,--,-0.16,-1.20
7/22/15,--,--,--,-0.09,-0.68
7/21/15,--,--,--,-0.14,-1.05
7/20/15,--,--,--,-0.03,-0.24
7/17/15,--,--,--,0.01,0.07
7/16/15,--,--,--,0.01,0.06
7/15/15,--,--,--,-0.11,-0.82
7/14/15,--,--,--,0.00,0.02
7/13/15,--,--,--,-0.06,-0.43
7/10/15,--,--,--,0.03,0.21
7/9/15,--,--,--,-0.08,-0.65
7/8/15,--,--,--,-0.18,-1.53
7/7/15,--,--,--,-0.19,-1.48
7/6/15,--,--,--,-0.03,-0.20
7/2/15,--,--,--,-0.03,-0.19
7/1/15,--,--,--,-0.10,-0.74
6/30/15,--,--,--,-0.07,-0.52
6/29/15,--,--,--,-0.14,-1.04
6/26/15,--,--,--,-0.06,-0.46
6/25/15,--,--,--,-0.06,-0.45
6/24/15,--,--,--,-0.09,-0.61
6/23/15,--,--,--,-0.03,-0.18
6/22/15,--,--,--,-0.04,-0.30
6/19/15,--,--,--,-0.07,-0.53
6/18/15,--,--,--,-0.01,-0.08
6/17/15,--,--,--,-0.13,-0.91
6/16/15,--,--,--,-0.06,-0.42
6/15/15,--,--,--,-0.18,-1.24
6/12/15,--,--,--,-0.12,-0.85
6/11/15,--,--,--,-0.03,-0.20
6/10/15,--,--,--,-0.02,-0.11
6/9/15,--,--,--,-0.10,-0.70
6/8/15,--,--,--,-0.14,-0.96
6/5/15,--,--,--,-0.12,-0.80
6/4/15,--,--,--,-0.14,-0.94
6/3/15,--,--,--,-0.07,-0.48
6/2/15,--,--,--,-0.12,-0.83
6/1/15,--,--,--,-0.20,-1.32
5/29/15,--,--,--,-0.19,-1.29
5/28/15,--,--,--,-0.07,-0.48
5/27/15,--,--,--,-0.06,-0.37
5/26/15,--,--,--,-0.10,-0.67
5/22/15,--,--,--,0.04,0.25
5/21/15,--,--,--,-0.08,-0.56
5/20/15,--,--,--,-0.08,-0.55
5/19/15,--,--,--,-0.11,-0.72
5/18/15,--,--,--,-0.09,-0.62
5/15/15,--,--,--,-0.04,-0.28
5/14/15,--,--,--,-0.04,-0.29
5/13/15,--,--,--,-0.17,-1.15
5/12/15,--,--,--,-0.11,-0.74
5/11/15,--,--,--,-0.19,-1.26
5/8/15,--,--,--,0.00,-0.01
5/7/15,--,--,--,-0.05,-0.36
5/6/15,--,--,--,-0.28,-1.85
5/5/15,--,--,--,-0.14,-0.89
5/4/15,--,--,--,-0.01,-0.05
5/1/15,--,--,--,-0.01,-0.03
4/30/15,--,--,--,-0.09,-0.60
4/29/15,--,--,--,-0.14,-0.92
4/28/15,--,--,--,-0.03,-0.17
4/27/15,--,--,--,-0.11,-0.67
4/24/15,--,--,--,-0.04,-0.28
4/23/15,--,--,--,-0.07,-0.44
4/22/15,--,--,--,-0.05,-0.29
4/21/15,--,--,--,-0.18,-1.20
4/20/15,--,--,--,0.01,0.09
4/17/15,--,--,--,-0.38,-2.45
4/16/15,--,--,--,0.01,0.04
4/15/15,--,--,--,-0.04,-0.27
4/14/15,--,--,--,0.02,0.13
4/13/15,--,--,--,-0.12,-0.79
4/10/15,--,--,--,0.06,0.43
4/9/15,--,--,--,0.37,2.49
4/8/15,--,--,--,0.17,1.19
4/7/15,--,--,--,0.12,0.89
4/6/15,--,--,--,0.05,0.38
4/2/15,--,--,--,-0.01,-0.10
4/1/15,--,--,--,0.03,0.19
3/31/15,--,--,--,-0.06,-0.48
3/30/15,--,--,--,0.07,0.49
3/27/15,--,--,--,0.01,0.06
3/26/15,--,--,--,-0.09,-0.70
3/25/15,--,--,--,-0.19,-1.45
3/24/15,--,--,--,-0.08,-0.59
3/23/15,--,--,--,-0.10,-0.77
3/20/15,--,--,--,0.00,0.02
3/19/15,--,--,--,-0.10,-0.74
3/18/15,--,--,--,0.07,0.58
3/17/15,--,--,--,-0.04,-0.34
3/16/15,--,--,--,0.01,0.09
3/13/15,--,--,--,-0.10,-0.77
3/12/15,--,--,--,-0.05,-0.40
3/11/15,--,--,--,-0.11,-0.83
3/10/15,--,--,--,-0.20,-1.52
3/9/15,--,--,--,-0.09,-0.65
3/6/15,--,--,--,-0.21,-1.60
3/5/15,--,--,--,-0.09,-0.70
3/4/15,--,--,--,-0.10,-0.78
3/3/15,--,--,--,-0.08,-0.62
3/2/15,--,--,--,-0.03,-0.23
2/27/15,--,--,--,-0.05,-0.36
2/26/15,--,--,--,-0.05,-0.35
2/25/15,--,--,--,-0.05,-0.40
2/24/15,--,--,--,0.00,0.01
2/23/15,--,--,--,-0.10,-0.76
2/20/15,--,--,--,-0.03,-0.20
2/19/15,--,--,--,-0.09,-0.67
2/18/15,--,--,--,-0.09,-0.70
2/17/15,--,--,--,-0.04,-0.28
2/13/15,--,--,--,-0.05,-0.36
2/12/15,--,--,--,0.01,0.04
2/11/15,--,--,--,0.00,0.02
2/10/15,--,--,--,-0.01,-0.06
2/9/15,--,--,--,-0.09,-0.70
2/6/15,--,--,--,-0.11,-0.84
2/5/15,--,--,--,0.04,0.32
2/4/15,--,--,--,0.09,0.64
2/3/15,--,--,--,0.08,0.59
2/2/15,--,--,--,0.07,0.50
1/30/15,--,--,--,-0.20,-1.53
1/29/15,--,--,--,0.03,0.26
1/28/15,--,--,--,-0.24,-1.78
1/27/15,--,--,--,-0.09,-0.68
1/26/15,--,--,--,0.00,-0.00
1/23/15,--,--,--,-0.01,-0.04
1/22/15,--,--,--,0.16,1.21
1/21/15,--,--,--,0.03,0.24
1/20/15,--,--,--,0.02,0.13
1/16/15,--,--,--,0.02,0.11
1/15/15,--,--,--,-0.13,-0.94
1/14/15,--,--,--,-0.09,-0.70
1/13/15,--,--,--,-0.07,-0.49
1/12/15,--,--,--,-0.09,-0.66
1/9/15,--,--,--,-0.05,-0.33
1/8/15,--,--,--,0.06,0.45
1/7/15,--,--,--,0.02,0.15
1/6/15,--,--,--,-0.18,-1.32
1/5/15,--,--,--,-0.15,-1.14
1/2/15,--,--,--,-0.15,-1.11
1/1/15,--,--,--,-0.01,-0.08
